ID,Функция,Основание,Релизная категория,Текущий статус,Инженерные блоки,Дизайн-этап,Необходимые поверхности,Компоненты,Дополнительные состояния,Motion,Evidence,Ключевой контракт,Общие состояния,Версия,Owner decision,Visual verification,Font/Icon,Source SHA
F01,App Shell,P1/A2/A3,BASE,SOURCE_BASELINE,2,D2,Чаты/Дела/Вы; шапка; nested entry; responsive split,C01 C02 C03 C04,S03 S04,M01 M02,pablicus/index.html; pablicus/app-shell.js; pablicus/shell.css,Сохранить три вкладки и одного владельца геометрии,S01 S02 S05 S09,D0 R1,PENDING,NOT_PERFORMED_AUTH_REQUIRED,INTERIM_TO_QUALIFY / ORIGINAL_NOT_CREATED,d791adc19aade1015f4ba34cf4beb5ce2069c93f
F02,Список чатов,P1/A2,BASE,SOURCE_BASELINE,2/3,D3,Все/Фокус; строка диалога; unread; new conversation; filters,C03 C05,S03,M01 M02 M07,pablicus/app.js:398-415; pablicus/chat-list-view.js,Не сбрасывать позицию при обновлении и возврате,S01 S02 S05 S09,D0 R1,PENDING,NOT_PERFORMED_AUTH_REQUIRED,INTERIM_TO_QUALIFY / ORIGINAL_NOT_CREATED,d791adc19aade1015f4ba34cf4beb5ce2069c93f
F03,Личный чат,P1,BASE,SOURCE_BASELINE,2/3,D3,История; header; reply; reactions; message menu; media; outbox,C05 C06 C07,S03 S04 S07,M02 M07 M11,pablicus/chat.js; pablicus/app.js; pablicus/chat-actions.js,Delivery/read только при фактическом подтверждении,S01 S02 S05 S09,D0 R1,PENDING,NOT_PERFORMED_AUTH_REQUIRED,INTERIM_TO_QUALIFY / ORIGINAL_NOT_CREATED,d791adc19aade1015f4ba34cf4beb5ce2069c93f
F04,Групповой чат,P1/A2,A,PARTIAL,2/3/4,D3,Создание/выбор участников; разговор; group info; invite; permissions; leave,C01 C05 C12,S03 S08,M02 M06,pablicus/creation-flows.js; docs/engineering/block-02/SHELL_2A_COMPONENT_REGISTRY.md,Локальная неподключённая форма не доказывает серверную группу,S01 S02 S05 S09,D0 R1,PENDING,NOT_PERFORMED_AUTH_REQUIRED,INTERIM_TO_QUALIFY / ORIGINAL_NOT_CREATED,d791adc19aade1015f4ba34cf4beb5ce2069c93f
F05,Threads,A2,A,CONTRACT_ONLY,2/3,D3,Thread list; ветка; reply in thread; источник; unread; return,C05 C06,S03 S04 S07,M02 M07,pablicus/component-registry.js; A2 §5.2,Отдельная сущность от Canvas,S01 S02 S05 S09,D0 R1,PENDING,NOT_PERFORMED_AUTH_REQUIRED,INTERIM_TO_QUALIFY / ORIGINAL_NOT_CREATED,d791adc19aade1015f4ba34cf4beb5ce2069c93f
F06,Topics,A2,A,CONTRACT_ONLY,2/3/4,D3,Topic directory; topic detail; создание/редактирование; перенос/архив,C01 C03 C05,S03 S08,M01 M02,A2 §5.2; §6,Уточнить связь Topic и Thread; не изобретать backend contract,S01 S02 S05 S09,D0 R1,PENDING,NOT_PERFORMED_AUTH_REQUIRED,INTERIM_TO_QUALIFY / ORIGINAL_NOT_CREATED,d791adc19aade1015f4ba34cf4beb5ce2069c93f
F07,Media/attachments,P1/A2,BASE,SOURCE_BASELINE,2/3,D3,Picker; upload; preview; gallery; file/audio/video viewer; download; source,C06 C07 C04,S03 S04,M06 M11,pablicus/rich-composer.js; pablicus/rich-message.js; pablicus/media-viewer.js,Сохранить оригинал и доступный Close; offline/expired media,S01 S02 S05 S09,D0 R1,PENDING,NOT_PERFORMED_AUTH_REQUIRED,INTERIM_TO_QUALIFY / ORIGINAL_NOT_CREATED,d791adc19aade1015f4ba34cf4beb5ce2069c93f
F08,Composer text/files/voice,P1/A1/A2,BASE,SOURCE_BASELINE,2/3,D3,Inline/fullscreen; draft; reply; voice; menu; attachment order; send,C06 C02 C04,S03 S04,M05 M06,pablicus/rich-composer.js; pablicus/workspace-editor.js,Один draft при раскрытии; IME и interrupted recording,S01 S02 S05 S09,D0 R1,PENDING,NOT_PERFORMED_AUTH_REQUIRED,INTERIM_TO_QUALIFY / ORIGINAL_NOT_CREATED,d791adc19aade1015f4ba34cf4beb5ce2069c93f
F09,Composer commands/agents/objects,A1/A2,A,CONTRACT_ONLY,2/3/5,D3,Commands; mentions; agent picker; object link/create; task conversion,C06 C08 C09 C11,S03 S04 S06,M05 M08 M09,pablicus/component-registry.js composer contract,Контракт расширения не означает действующее исполнение,S01 S02 S05 S09,D0 R1,PENDING,NOT_PERFORMED_AUTH_REQUIRED,INTERIM_TO_QUALIFY / ORIGINAL_NOT_CREATED,d791adc19aade1015f4ba34cf4beb5ce2069c93f
F10,AI Chat,A1/A2,A+P1,CONTRACT_ONLY,2/3/5,D3,Список AI бесед; новый/продолжить; rename; history search; export; delete; result,C05 C06 C10,S03 S04 S06,M02 M08 M09,A1 §6; pablicus/component-registry.js,Свободный разговор без Factory; восстановление истории между устройствами,S01 S02 S05 S09,D0 R1,PENDING,NOT_PERFORMED_AUTH_REQUIRED,INTERIM_TO_QUALIFY / ORIGINAL_NOT_CREATED,d791adc19aade1015f4ba34cf4beb5ce2069c93f
