ID,Family,Meaning RU,Scope,Master status,Variants,Sizes,Touch target,Accessible name,Overlays,Motion,License,Owner decision
pi-navigation-chats,navigation,Чаты,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Чаты,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-navigation-tasks,navigation,Дела,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Дела,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-navigation-you,navigation,Вы,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Вы,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-navigation-back,navigation,Назад,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Назад,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-navigation-close,navigation,Закрыть,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Закрыть,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-navigation-forward,navigation,Вперёд,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Вперёд,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-navigation-chevron-down,navigation,Раскрыть,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Раскрыть,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-navigation-chevron-up,navigation,Свернуть,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Свернуть,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-navigation-menu,navigation,Меню,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Меню,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-navigation-more,navigation,Другие действия,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Другие действия,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-navigation-search,navigation,Поиск,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Поиск,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-navigation-filter,navigation,Фильтр,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Фильтр,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-navigation-sort,navigation,Сортировка,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Сортировка,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-navigation-space-switch,navigation,Сменить пространство,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Сменить пространство,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-navigation-external-link,navigation,Открыть вне Pablicus,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Открыть вне Pablicus,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-navigation-fullscreen,navigation,Полный экран,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Полный экран,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-navigation-restore,navigation,Вернуть размер,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Вернуть размер,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-navigation-side-panel,navigation,Боковая панель,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Боковая панель,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-communication-conversation-new,communication,Новый разговор,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Новый разговор,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-communication-private-chat,communication,Личный разговор,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Личный разговор,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
