step,surface,A,B,C,contract
1,Вход в продукт,A-01,B-01,C-01,Восстановлена последняя область «Чаты». Ошибка восстановления не сбрасывает аккаунт.
2,Список чатов,A-02,B-02,C-02,"Space меняет scope списка, не добавляет root tab."
3,Разговор,A-03,B-03,C-03,Conversation и Thread имеют отдельные якоря и черновики.
4,Rich message,A-04,B-04,C-04,Checklist и событие — интерактивные блоки. Ответ сервера определяет итог действия.
5,Composer / клавиатура,A-05,B-05,C-05,Draft d-17; caret сохранён. Root navigation скрыта при клавиатуре.
6,Вложения и медиа,A-06,B-06,C-06,Picker заменяет клавиатуру. При отказе разрешения остаётся доступен выбор файла.
7,AI Inline,A-07,B-07,C-07,"AI Inline возвращает предложение. Применение создаёт undo, не отправляет сообщение."
8,Пригласить агента,A-08,B-08,C-08,Run получает разрешения выбранной области. Приглашение не равно установке во весь Space.
9,Создание Work Object,A-09,B-09,C-09,"demo wo-17 / msg-104. Карточка — представление объекта, не новая копия."
10,Compact Work Object,A-10,B-10,C-10,"В карточке тип, имя, revision и статус. Она не превращает весь чат в dashboard."
11,Начало раскрытия,A-11,B-11,C-11,Storyboard keyframe: capture anchor → раскрыть контейнер; underlying chat не меняет размеры.
12,Контекстное пространство,A-12,B-12,C-12,Mobile: modal panel. Tablet/desktop: non-modal dock при достаточной ширине.
13,Fullscreen workspace,A-13,B-13,C-13,Полноэкранный вид сохраняет тот же WO. Close/Back доступны; раскрытие не публикует.
14,Агент / approval,A-14,B-14,C-14,running → awaiting_approval. Сравнить v1 с proposed v2. Stale revision требует новой проверки.
15,Результат,A-15,B-15,C-15,Готово только после сохранения результата. Ошибка применения не показывает success.
16,Результат → использование,A-16,B-16,C-16,Новый Task сохраняет связь с WO. Публикация имеет отдельную аудиторию и подтверждение.
17,Точный возврат,A-17,B-17,C-17,msg-104 + offset; draft d-17; selection; WO wo-17. Новые сообщения ниже не вызывают autoscroll.
18,Дела,A-18,B-18,C-18,"Дело — самостоятельная сущность с источником, сроком и исполнителем."
19,Профиль / Вы,A-19,B-19,C-19,Телефон и приватные данные не появляются в public identity. Stories — не обещание релизного scope.
20,Global Search,A-20,B-20,C-20,Типы и scope видны. Закрытые совпадения не раскрываются даже в сниппетах.
21,Saved,A-21,B-21,C-21,Saved link сохраняет origin и права. Недоступный источник не восстанавливается из скрытого кэша.
22,Space / Community,A-22,B-22,C-22,"Space — область прав. Topics организуют разговоры, Threads обсуждают сообщение."
23,Канал / публикация,A-23,B-23,C-23,Это private preview. Канал не получает приватные комментарии/историю агента.
24,Factory,A-24,B-24,C-24,"Спецификация, build, test и работающий сервис — разные состояния."
25,Возможности,A-25,B-25,C-25,Trust не равен эффективности. Установка запрашивает область и конкретные права.
26,Mini-app / сервис,A-26,B-26,C-26,"Host сохраняет chrome, close и permission boundary. Mini app не читает чат целиком."
